location;time;key_figure;value;additional_value;value_unit;source_type;source_title;source_author;source_year_of_publication;source_edition;source_url;source_url_access_date;published
Panama;2020-07;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Panama;2020-08;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Panama;2020-09;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Panama;2020-10;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Panama;2020-11;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Panama;2020-12;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Panama;2021-01;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Panama;2021-02;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Panama;2021-03;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Panama;2021-04;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Panama;2021-05;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Panama;2021-06;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Panama;2021-07;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Panama;2021-08;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Panama;2021-09;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Panama;2021-10;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Panama;2021-11;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Panama;2021-12;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Panama;2022-01;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Panama;2022-02;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2020-01;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2020-02;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2020-03;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2020-04;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2020-05;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2020-06;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2020-07;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2020-08;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2020-09;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2020-10;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2020-11;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2020-12;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2021-01;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2021-02;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2021-03;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2021-04;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2021-05;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2021-06;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2021-07;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2021-08;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2021-09;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2021-10;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2021-11;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2021-12;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2022-01;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Papua New Guinea;2022-02;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2020-01;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2020-02;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2020-03;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2020-04;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2020-05;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2020-06;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2020-07;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2020-08;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2020-09;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2020-10;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2020-11;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2020-12;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2021-01;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2021-02;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2021-03;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2021-04;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2021-05;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2021-06;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2021-07;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2021-08;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2021-09;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2021-10;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2021-11;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2021-12;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2022-01;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Paraguay;2022-02;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2020-01;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2020-02;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2020-03;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2020-04;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2020-05;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2020-06;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2020-07;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2020-08;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2020-09;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2020-10;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2020-11;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2020-12;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2021-01;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2021-02;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2021-03;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2021-04;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2021-05;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2021-06;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2021-07;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2021-08;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2021-09;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2021-10;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2021-11;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2021-12;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2022-01;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Peru;2022-02;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2020-01;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2020-02;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2020-03;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2020-04;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2020-05;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2020-06;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2020-07;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2020-08;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2020-09;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2020-10;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2020-11;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2020-12;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2021-01;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2021-02;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2021-03;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2021-04;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2021-05;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2021-06;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2021-07;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2021-08;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2021-09;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2021-10;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2021-11;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2021-12;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2022-01;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Philippines;2022-02;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Poland;2020-01;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Poland;2020-02;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Poland;2020-03;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Poland;2020-04;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Poland;2020-05;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Poland;2020-06;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Poland;2020-07;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Poland;2020-08;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Poland;2020-09;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Poland;2020-10;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Poland;2020-11;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Poland;2020-12;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Poland;2021-01;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Poland;2021-02;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Poland;2021-03;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Poland;2021-04;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Poland;2021-05;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Poland;2021-06;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Poland;2021-07;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Poland;2021-08;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Poland;2021-09;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
Poland;2021-10;"Distribution (shipping; storage; administration) of COVID-19 vaccines";0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-03-17;1
